-2.1273189	the	-0.80314577
-2.716161	The	-0.38974512
-4.223266	THE	-0.2248665
-6.5227585	THe	-0.11694829

-2.283247	of	-0.67790955
-4.08699	OF	-0.3125919
-4.089751	Of	-0.35994324
-6.5227585	oF	-0.11694829

-2.4493287	a	-0.72595936
-3.1952667	A	-0.28206104

-3.0811715	Church	-0.5509522
-3.949039	church	-0.43682495
-4.9466105	CHURCH	-0.2573554
-6.5227585	CHurch	-0.11694829

-4.0774627	house	-0.48284513
-4.5707574	House	-0.35330078
-5.6514564	HOUSE	-0.17922539

-4.865117	Apple	-0.24062188
-5.2516074	apple	-0.14125426
-6.5227585	APPLE	-0.11694829

-4.8906193	laugh	-0.38095817
-6.1705723	Laugh	-0.2175827
-6.1705723	LAUGH	-0.34355363

-4.62422	USA	-0.5954068
-6.315143	usa	-0.24685998

-6.1705723	USPS	-0.11694829

-4.483686	lds	-0.40179306
-3.5999858	LDS	-0.4805163
